Weekday,Arrival_date,Departure_date,Ship,Pier
So,28.05.17,28.05.17,Mein Schiff 6,Ostseekai
Di,30.05.17,30.05.17,Zuiderdam,Ostseekai
Mi,31.05.17,31.05.17,AIDAvita,Ostseekai
Do,01.06.17,01.06.17,Koningsdam,Ostseekai
Sa,03.06.17,03.06.17,Mein Schiff 6,Ostseekai
Sa,03.06.17,03.06.17,AIDAvita,Ostseekai
Sa,03.06.17,03.06.17,Ocean Majesty,Norwegenkai
Sa,03.06.17,03.06.17,MSC Fantasia,Ostuferhafen
So,04.06.17,04.06.17,AIDAcara,Ostseekai
Di,06.06.17,06.06.17,Mein Schiff 3,Ostseekai
Di,06.06.17,06.06.17,Hamburg,Ostseekai
Do,08.06.17,08.06.17,AIDAluna,Ostseekai
Sa,10.06.17,10.06.17,Ocean Majesty,Norwegenkai
Sa,10.06.17,10.06.17,MSC Fantasia,Ostseekai
So,11.06.17,11.06.17,Zuiderdam,Ostseekai
Mi,14.06.17,14.06.17,Mein Schiff 3,Ostseekai
Mi,14.06.17,14.06.17,Mein Schiff 6,Ostseekai
Sa,17.06.17,17.06.17,AIDAvita,Ostseekai
Sa,17.06.17,17.06.17,MSC Fantasia,Ostseekai
So,18.06.17,18.06.17,Mein Schiff 6,Ostseekai
So,18.06.17,18.06.17,AIDAcara,Ostseekai
Mi,21.06.17,21.06.17,Queen Elizabeth,Ostseekai
Mi,21.06.17,21.06.17,Arcadia,Ostseekai
Mi,21.06.17,21.06.17,Ocean Majesty,Norwegenkai
Do,22.06.17,22.06.17,AIDAbella,Ostseekai
Fr,23.06.17,23.06.17,Albatros,Ostseekai
Fr,23.06.17,23.06.17,Black Watch,Ostseekai
Sa,24.06.17,24.06.17,MSC Fantasia,Ostseekai
So,25.06.17,25.06.17,AIDAluna,Ostseekai
Mo,26.06.17,26.06.17,AIDAbella,Ostseekai
Mo,26.06.17,26.06.17,Hamburg,Ostseekai
Mi,28.06.17,28.06.17,Mein Schiff 3,Ostseekai
Mi,28.06.17,28.06.17,Mein Schiff 6,Ostseekai
Fr,30.06.17,30.06.17,AIDAbella,Ostseekai
Sa,01.07.17,01.07.17,AIDAvita,Ostseekai
Sa,01.07.17,01.07.17,MSC Fantasia,Ostseekai
So,02.07.17,02.07.17,AIDAcara,Ostseekai
Mo,03.07.17,03.07.17,Ocean Majesty,Norwegenkai
Mi,05.07.17,05.07.17,Zuiderdam,Ostseekai
Fr,07.07.17,07.07.17,AIDAbella,Ostseekai
Fr,07.07.17,07.07.17,Hamburg,Ostseekai
Sa,08.07.17,08.07.17,Mein Schiff 6,Ostseekai
Sa,08.07.17,08.07.17,MSC Fantasia,Ostseekai
Mo,10.07.17,10.07.17,Deutschland,Ostseekai
Di,11.07.17,11.07.17,Artania,Ostseekai
Mi,12.07.17,12.07.17,AIDAluna,Ostseekai
Fr,14.07.17,14.07.17,AIDAbella,Ostseekai
Sa,15.07.17,15.07.17,Mein Schiff 3,Ostseekai
Sa,15.07.17,15.07.17,AIDAvita,Sartorikai
Sa,15.07.17,15.07.17,MSC Fantasia,Ostseekai
Di,18.07.17,18.07.17,Mein Schiff 6,Ostseekai
Do,20.07.17,20.07.17,Artania,Ostseekai
Sa,22.07.17,22.07.17,MSC Fantasia,Ostseekai
Mo,24.07.17,24.07.17,AIDAbella,Ostseekai
Mi,26.07.17,26.07.17,Mein Schiff 6,Ostseekai
