Feature 1,Feature 2,Feature 3,R²,Adjustiertes R²
Broetchen,Temp_Warm,Weather_Good,0.4243790591651194,0.4228967734805661
Broetchen,Temp_Mild,KielerWoche,0.4243757905332518,0.42289349643162066
Broetchen,Cloud_Cloudy,Feiertag,0.42436831647291684,0.4228860031247784
Broetchen,Cloud_Cloudy,is_holiday,0.42387413683390684,0.42288592780617773
Broetchen,Weather_Light_Issues,KielerWoche,0.42435797769712746,0.42287563772553216
Broetchen,Weather_Unknown,is_holiday,0.42386360890150054,0.4228753818155684
Broetchen,Temp_Hot,Cloud_Clear,0.424317880822066,0.42283543759671516
Broetchen,KielerWoche,Feiertag,0.4243173910222332,0.42283494653559517
Broetchen,Temp_Mild,Feiertag,0.4242614695900938,0.4227788810997679
Broetchen,Temp_Mild,is_holiday,0.4237658373581181,0.4227774425679949
Broetchen,KielerWoche,is_holiday,0.4237586579011283,0.4227702507963276
Broetchen,Cloud_Cloudy,Weather_Unknown,0.42421639367764885,0.4227336891120119
Broetchen,Weather_Unknown,Markt,0.4242062814194253,0.42272355081363844
Broetchen,Temp_Hot,Wind_Moderate,0.42420484497290645,0.4227221106681157
Broetchen,Cloud_Cloudy,Wind_Moderate,0.424204383165251,0.422721647671256
Broetchen,Cloud_Clear,is_holiday,0.42369356865244157,0.4227050499022743
Broetchen,KielerWoche,Markt,0.4241791486826123,0.4226963482071169
Broetchen,Wind_Moderate,Weather_Unknown,0.42417298770084555,0.42269017136016107
Broetchen,Weather_Light_Issues,is_holiday,0.4236756111819352,0.42268706162993175
Broetchen,Weather_Light_Issues,Feiertag,0.42415925701653134,0.42267640531786144
Broetchen,Cloud_Cloudy,Markt,0.42415423133763597,0.42267136669730376
Broetchen,Temp_Hot,Wind_Strong,0.42414322399861537,0.4226603310132041
Broetchen,Cloud_Clear,Feiertag,0.4241428984499659,0.4226600046262319
Broetchen,Wind_Strong,Weather_Unknown,0.42411781802008997,0.422634859611558
Broetchen,Cloud_Clear,Weather_Unknown,0.42410404928562306,0.4226210554211225
Broetchen,Temp_Hot,Sonntag,0.42407779951758706,0.42259473805711734
Broetchen,Temp_Mild,Wind_Moderate,0.4240750400669381,0.4225919715005869
Broetchen,Feiertag,is_holiday,0.4235771344370518,0.4225884159712492
Broetchen,Cloud_Cloudy,Wind_Strong,0.4240466044127188,0.4225634626215069
Broetchen,Wind_Moderate,KielerWoche,0.42404500075108564,0.422561854830273
Broetchen,Cloud_Clear,Wind_Moderate,0.4240373991637463,0.4225542336680306
Broetchen,Temp_Hot,Samstag,0.42403693760334893,0.42255377091906576
Broetchen,Cloud_Cloudy,Weather_Light_Issues,0.42402927592112183,0.42254608950718486
Broetchen,Temp_Mild,Markt,0.42402229891387666,0.42253909453339744
Broetchen,Temp_Hot,Cloud_Partly_Cloudy,0.42402222051870675,0.42253901593635146
Broetchen,Weather_Light_Issues,Markt,0.4240067809526019,0.4225235366117074
Broetchen,Temp_Hot,VPI,0.424002415140482,0.4225191595571528
Broetchen,Temp_Hot,Weather_Severe,0.42400052873880756,0.4225172682977917
Broetchen,Temp_Hot,Donnerstag,0.42399974500904825,0.4225164825498441
Broetchen,Temp_Hot,Wind_Light,0.42399353115581917,0.4225102526952762
Broetchen,Wind_Moderate,Weather_Light_Issues,0.42398387250994685,0.42250056917735446
Broetchen,Cloud_Cloudy,Samstag,0.42398365072328914,0.42250034681957227
Broetchen,Cloud_Clear,Cloud_Cloudy,0.42398065596455425,0.4224973443490123
Broetchen,Cloud_Partly_Cloudy,Cloud_Cloudy,0.42398065596455414,0.4224973443490122
Broetchen,Cloud_Clear,Cloud_Partly_Cloudy,0.42398065596455414,0.4224973443490122
Broetchen,Weather_Unknown,Sonntag,0.4239804419429295,0.422497129776259
Broetchen,Cloud_Cloudy,Sonntag,0.42397893212521487,0.4224956160706017
Broetchen,Cloud_Clear,Markt,0.42397641414137144,0.42249309160267967
Broetchen,Temp_Hot,Montag,0.4239744503918149,0.42249112279625733
Broetchen,Temp_Hot,Weather_Moderate,0.4239727778902699,0.42248944598784144
Broetchen,Weather_Severe,Weather_Unknown,0.4239695175121717,0.4224861772139198
Broetchen,Cloud_Cloudy,Weather_Severe,0.42396615355868716,0.4224828045978941
Broetchen,Weather_Unknown,Samstag,0.4239655999801779,0.4224822495938608
Broetchen,Weather_Unknown,VPI,0.4239653655798472,0.42248201458992407
Broetchen,Cloud_Cloudy,Wind_Light,0.4239652480078101,0.42248189671512637
Broetchen,Temp_Hot,Weather_Good,0.42395752699628153,0.42247415582116465
Broetchen,Temp_Hot,Heimspiel,0.42395634335774124,0.4224729691346282
Broetchen,Wind_Strong,Weather_Light_Issues,0.4239538302930339,0.42247044959850955
Broetchen,Temp_Hot,Dienstag,0.42395362338027365,0.4224702421529267
Broetchen,Temp_Very_Cold,Temp_Hot,0.42395289679470405,0.42246951369632135
Broetchen,Cloud_Cloudy,Weather_Moderate,0.4239522311132198,0.42246884630063586
Broetchen,is_holiday,Markt,0.42345639148902403,0.42246746591696405
Broetchen,Temp_Hot,Freitag,0.423950468081981,0.4224670787294025
Broetchen,Temp_Hot,Mittwoch,0.42394993254354174,0.42246654181189425
